# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e-01
# lRef        : 5.000000e+00
# Aref        : 5.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.830269e-15	1.534316e+02	0.000000e+00	-3.830269e-15	3.830269e-15
1             	5.184402e-03	-5.825361e+01	1.715453e+00	8.629108e-01	8.525420e-01
2             	3.373344e-03	-3.821379e+01	8.582990e-02	4.628830e-02	3.954161e-02
3             	2.147705e-03	-2.960822e+01	-4.720553e-01	-2.338799e-01	-2.381753e-01
4             	2.036876e-03	-2.243537e+01	-6.552516e-01	-3.255889e-01	-3.296627e-01
5             	1.761935e-03	-1.629391e+01	-7.284618e-01	-3.624690e-01	-3.659928e-01
6             	1.455718e-03	-1.120452e+01	-7.470833e-01	-3.720859e-01	-3.749974e-01
7             	1.202890e-03	-7.000790e+00	-7.305140e-01	-3.640541e-01	-3.664599e-01
8             	1.000789e-03	-3.550427e+00	-6.941702e-01	-3.460843e-01	-3.480859e-01
9             	8.384963e-04	-7.263439e-01	-6.488115e-01	-3.235672e-01	-3.252442e-01
10            	3.664479e-04	1.679834e+00	-5.757382e-01	-2.875027e-01	-2.882355e-01
11            	6.656919e-04	3.683351e+00	-5.079507e-01	-2.533097e-01	-2.546411e-01
12            	6.243021e-04	5.280624e+00	-4.620402e-01	-2.303958e-01	-2.316444e-01
13            	5.564948e-04	6.564979e+00	-4.234023e-01	-2.111446e-01	-2.122576e-01
14            	4.905241e-04	7.602989e+00	-3.890816e-01	-1.940503e-01	-1.950313e-01
15            	4.315752e-04	8.448195e+00	-3.584614e-01	-1.787991e-01	-1.796623e-01
16            	3.794397e-04	9.141676e+00	-3.314998e-01	-1.653705e-01	-1.661294e-01
17            	3.338758e-04	9.715039e+00	-3.077886e-01	-1.535604e-01	-1.542282e-01
18            	2.935819e-04	1.019093e+01	-2.868552e-01	-1.431340e-01	-1.437212e-01
19            	2.584691e-04	1.058544e+01	-2.684886e-01	-1.339858e-01	-1.345027e-01
20            	2.271712e-04	1.091406e+01	-2.524129e-01	-1.259793e-01	-1.264336e-01
21            	1.995894e-04	1.118908e+01	-2.383159e-01	-1.189584e-01	-1.193575e-01
22            	1.750702e-04	1.141955e+01	-2.258860e-01	-1.127679e-01	-1.131181e-01
23            	1.533065e-04	1.161109e+01	-2.150091e-01	-1.073512e-01	-1.076578e-01
24            	1.508339e-04	1.179981e+01	-2.038039e-01	-1.017511e-01	-1.020528e-01
25            	-4.849205e-05	1.207366e+01	-1.887337e-01	-9.441533e-02	-9.431834e-02
26            	-1.070929e-04	1.240699e+01	-1.666673e-01	-8.344073e-02	-8.322655e-02
27            	2.117032e-04	1.279272e+01	-1.387882e-01	-6.918238e-02	-6.960578e-02
28            	2.166586e-04	1.308620e+01	-1.155371e-01	-5.755188e-02	-5.798520e-02
29            	1.944719e-04	1.328509e+01	-9.778177e-02	-4.869641e-02	-4.908536e-02
30            	1.705937e-04	1.342013e+01	-8.425912e-02	-4.195897e-02	-4.230015e-02
